title,year,director,cast,imdb_rating
La Grande Illusion,1937,Jean Renoir,"Jean Gabin, Dita Parlo",8.1
Kind Hearts and Coronets,1949,Robert Hamer,"Dennis Price, Alec Guinness",8.1
My Sassy Girl,2001,Jae-young Kwak,"Tae-hyun Cha, Ji-hyun Jun",8.1
Tae Guk Gi: The Brotherhood of War,2004,Je-kyu Kang,"Dong-Gun Jang, Bin Won",8.1
Vizontele,2001,Yilmaz Erdogan,"Yilmaz Erdogan, Demet Akbag",8.1
Lage Raho Munna Bhai,2006,Rajkumar Hirani,"Sanjay Dutt, Arshad Warsi",8.1
Ready Player One,2018,Steven Spielberg,"Tye Sheridan, Olivia Cooke",8
Call Me by Your Name,2017,Luca Guadagnino,"Armie Hammer, Timothée Chalamet",8
Wonder,I) (2017,Stephen Chbosky,"Jacob Tremblay, Owen Wilson",8
Deadpool,2016,Tim Miller,"Ryan Reynolds, Morena Baccarin",8
Dunkirk,2017,Christopher Nolan,"Fionn Whitehead, Barry Keoghan",8
Zootopia,2016,Byron Howard,"Ginnifer Goodwin, Jason Bateman",8
The Incredibles,2004,Brad Bird,"Craig T. Nelson, Samuel L. Jackson",8
Star Wars: The Force Awakens,2015,J.J. Abrams,"Daisy Ridley, John Boyega",8
The Martian,2015,Ridley Scott,"Matt Damon, Jessica Chastain",8
The Revenant,2015,Alejandro G. Iñárritu,"Leonardo DiCaprio, Tom Hardy",8
Pirates of the Caribbean: The Curse of the Black Pearl,2003,Gore Verbinski,"Johnny Depp, Geoffrey Rush",8
Star Trek,2009,J.J. Abrams,"Chris Pine, Zachary Quinto",8
Sin City,2005,Frank Miller,"Mickey Rourke, Clive Owen",8
Black Swan,2010,Darren Aronofsky,"Natalie Portman, Mila Kunis",8
X-Men: Days of Future Past,2014,Bryan Singer,"Patrick Stewart, Ian McKellen",8
Her,2013,Spike Jonze,"Joaquin Phoenix, Amy Adams",8
The Imitation Game,2014,Morten Tyldum,"Benedict Cumberbatch, Keira Knightley",8
Jaws,1975,Steven Spielberg,"Roy Scheider, Robert Shaw",8
Beauty and the Beast,1991,Gary Trousdale,"Paige O'Hara, Robby Benson",8
The Sound of Music,1965,Robert Wise,"Julie Andrews, Christopher Plummer",8
Ratatouille,2007,Brad Bird,"Brad Garrett, Lou Romano",8
The Perks of Being a Wallflower,2012,Stephen Chbosky,"Logan Lerman, Emma Watson",8
Aladdin,1992,Ron Clements,"Scott Weinger, Robin Williams",8
The Terminator,1984,James Cameron,"Arnold Schwarzenegger, Linda Hamilton",8
Casino Royale,2006,Martin Campbell,"Daniel Craig, Eva Green",8
The Exorcist,1973,William Friedkin,"Ellen Burstyn, Max von Sydow",8
Shaun of the Dead,2004,Edgar Wright,"Simon Pegg, Nick Frost",8
Dallas Buyers Club,2013,Jean-Marc Vallée,"Matthew McConaughey, Jennifer Garner",8
Kill Bill: Vol. 2,2004,Quentin Tarantino,"Uma Thurman, David Carradine",8
The Wizard of Oz,1939,Victor Fleming,"Judy Garland, Frank Morgan",8
Mystic River,2003,Clint Eastwood,"Sean Penn, Tim Robbins",8
Mulholland Dr.,2001,David Lynch,"Naomi Watts, Laura Harring",8
The Iron Giant,1999,Brad Bird,"Eli Marienthal, Harry Connick Jr.",8
Dances with Wolves,1990,Kevin Costner,"Kevin Costner, Mary McDonnell",8
The King's Speech,2010,Tom Hooper,"Colin Firth, Geoffrey Rush",8
Slumdog Millionaire,2008,Danny Boyle,"Dev Patel, Freida Pinto",8
District 9,2009,Neill Blomkamp,"Sharlto Copley, David James",8
Big Fish,2003,Tim Burton,"Ewan McGregor, Albert Finney",8
Twelve Monkeys,1995,Terry Gilliam,"Bruce Willis, Madeleine Stowe",8
Magnolia,1999,Paul Thomas Anderson,"Tom Cruise, Jason Robards",8
Scent of a Woman,1992,Martin Brest,"Al Pacino, Chris O'Donnell",8
The Pursuit of Happyness,2006,Gabriele Muccino,"Will Smith, Thandie Newton",8
Papillon,1973,Franklin J. Schaffner,"Steve McQueen, Dustin Hoffman",8
Rain Man,1988,Barry Levinson,"Dustin Hoffman, Tom Cruise",8
Blood Diamond,2006,Edward Zwick,"Leonardo DiCaprio, Djimon Hounsou",8
Dog Day Afternoon,1975,Sidney Lumet,"Al Pacino, John Cazale",8
Rosemary's Baby,1968,Roman Polanski,"Mia Farrow, John Cassavetes",8
The Graduate,1967,Mike Nichols,"Dustin Hoffman, Anne Bancroft",8
The Searchers,1956,John Ford,"John Wayne, Jeffrey Hunter",8
Groundhog Day,1993,Harold Ramis,"Bill Murray, Andie MacDowell",8
The Bourne Ultimatum,2007,Paul Greengrass,"Matt Damon, Edgar Ramírez",8
The Nightmare Before Christmas,1993,Henry Selick,"Danny Elfman, Chris Sarandon",8
Sing Street,2016,John Carney,"Ferdia Walsh-Peelo, Aidan Gillen",8
"Blood In, Blood Out",1993,Taylor Hackford,"Damian Chapa, Jesse Borrego",8
Brazil,1985,Terry Gilliam,"Jonathan Pryce, Kim Greist",8
Planet of the Apes,1968,Franklin J. Schaffner,"Charlton Heston, Roddy McDowall",8
This Is Spinal Tap,1984,Rob Reiner,"Rob Reiner, Michael McKean",8
Dogville,2003,Lars von Trier,"Nicole Kidman, Paul Bettany",8
Annie Hall,1977,Woody Allen,"Woody Allen, Diane Keaton",8
Fistful of Dollars,1964,Sergio Leone,"Clint Eastwood, Gian Maria Volontè",8
Young Frankenstein,1974,Mel Brooks,"Gene Wilder, Madeline Kahn",8
Doctor Zhivago,1965,David Lean,"Omar Sharif, Julie Christie",8
A Streetcar Named Desire,1951,Elia Kazan,"Vivien Leigh, Marlon Brando",8
Short Term 12,2013,Destin Daniel Cretton,"Brie Larson, Frantz Turner",8
Ghost in the Shell,1995,Mamoru Oshii,"Atsuko Tanaka, Iemasa Kayumi",8
JFK,1991,Oliver Stone,"Kevin Costner, Gary Oldman",8
The Raid 2,2014,Gareth Evans,"Iko Uwais, Yayan Ruhian",8
Rope,1948,Alfred Hitchcock,"James Stewart, John Dall",8
Sling Blade,1996,Billy Bob Thornton,"Billy Bob Thornton, Dwight Yoakam",8
The Straight Story,1999,David Lynch,"Richard Farnsworth, Sissy Spacek",8
All the President's Men,1976,Alan J. Pakula,"Dustin Hoffman, Robert Redford",8
Dancer in the Dark,2000,Lars von Trier,"Björk, Catherine Deneuve",8
Fiddler on the Roof,1971,Norman Jewison,"Topol, Norma Crane",8
Yip Man,2008,Wilson Yip,"Donnie Yen, Simon Yam",8
In the Heat of the Night,1967,Norman Jewison,"Sidney Poitier, Rod Steiger",8
Bringing Up Baby,1938,Howard Hawks,"Katharine Hepburn, Cary Grant",8
Cinderella Man,2005,Ron Howard,"Russell Crowe, Renée Zellweger",8
Pink Floyd: The Wall,1982,Alan Parker,"Bob Geldof, Christine Hargreaves",8
Dawn of the Dead,1978,George A. Romero,"David Emge, Ken Foree",8
The Wild Bunch,1969,Sam Peckinpah,"William Holden, Ernest Borgnine",8
Three Colors: Blue,1993,Krzysztof Kieslowski,"Juliette Binoche, Zbigniew Zamachowski",8
Nosferatu,1922,F.W. Murnau,"Max Schreck, Alexander Granach",8
A Christmas Story,1983,Bob Clark,"Peter Billingsley, Melinda Dillon",8
The Big Sleep,1946,Howard Hawks,"Humphrey Bogart, Lauren Bacall",8
Rio Bravo,1959,Howard Hawks,"John Wayne, Dean Martin",8
High Noon,1952,Fred Zinnemann,"Gary Cooper, Grace Kelly",8
Being There,1979,Hal Ashby,"Peter Sellers, Shirley MacLaine",8
Patton,1970,Franklin J. Schaffner,"George C. Scott, Karl Malden",8
The Philadelphia Story,1940,George Cukor,"Cary Grant, Katharine Hepburn",8
Harold and Maude,1971,Hal Ashby,"Ruth Gordon, Bud Cort",8
Manhattan,1979,Woody Allen,"Woody Allen, Diane Keaton",8
East of Eden,1955,Elia Kazan,"James Dean, Raymond Massey",8
The Discreet Charm of the Bourgeoisie,1972,Luis Buñuel,"Fernando Rey, Delphine Seyrig",8
The Manchurian Candidate,1962,John Frankenheimer,"Frank Sinatra, Laurence Harvey",8
Strangers on a Train,1951,Alfred Hitchcock,"Farley Granger, Robert Walker",8
Charade,1963,Stanley Donen,"Cary Grant, Audrey Hepburn",8
Hannah and Her Sisters,1986,Woody Allen,"Mia Farrow, Dianne Wiest",8
My Name Is Khan,2010,Karan Johar,"Shah Rukh Khan, Kajol",8
The Night of the Hunter,1955,Charles Laughton,"Robert Mitchum, Shelley Winters",8
The Sea Inside,I) (2004,Alejandro Amenábar,"Javier Bardem, Belén Rueda",8
The Killing,1956,Stanley Kubrick,"Sterling Hayden, Coleen Gray",8
The Diving Bell and the Butterfly,2007,Julian Schnabel,"Mathieu Amalric, Emmanuelle Seigner",8
The Adventures of Robin Hood,1938,Michael Curtiz,"Errol Flynn, Olivia de Havilland",8
Notorious,1946,Alfred Hitchcock,"Cary Grant, Ingrid Bergman",8
Head-On,2004,Fatih Akin,"Birol Ünel, Sibel Kekilli",8
Mimi wo sumaseba,1995,Yoshifumi Kondô,"Yoko Honna, Issey Takahashi",8
The Hustler,1961,Robert Rossen,"Paul Newman, Jackie Gleason",8
The Return,2003,Andrey Zvyagintsev,"Vladimir Garin, Ivan Dobronravov",8
Talk to Her,2002,Pedro Almodóvar,"Rosario Flores, Javier Cámara",8
"Aguirre, the Wrath of God",1972,Werner Herzog,"Klaus Kinski, Ruy Guerra",8
Harvey,1950,Henry Koster,"James Stewart, Wallace Ford",8
Kagemusha,1980,Akira Kurosawa,"Tatsuya Nakadai, Tsutomu Yamazaki",8
To Have and Have Not,1944,Howard Hawks,"Humphrey Bogart, Lauren Bacall",8
Secrets & Lies,1996,Mike Leigh,"Timothy Spall, Brenda Blethyn",8
Shadow of a Doubt,1943,Alfred Hitchcock,"Teresa Wright, Joseph Cotten",8
Arsenic and Old Lace,1944,Frank Capra,"Cary Grant, Priscilla Lane",8
His Girl Friday,1940,Howard Hawks,"Cary Grant, Rosalind Russell",8
Crimes and Misdemeanors,1989,Woody Allen,"Martin Landau, Woody Allen",8
Stalag 17,1953,Billy Wilder,"William Holden, Don Taylor",8
Jab We Met,2007,Imtiaz Ali,"Shahid Kapoor, Kareena Kapoor Khan",8
Battleship Potemkin,1925,Sergei M. Eisenstein,"Aleksandr Antonov, Vladimir Barskiy",8
Au Revoir les Enfants,1987,Louis Malle,"Gaspard Manesse, Raphael Fejtö",8
Waltz with Bashir,2008,Ari Folman,"Ari Folman, Ron Ben-Yishai",8
Kal Ho Naa Ho,2003,Nikkhil Advani,"Preity Zinta, Shah Rukh Khan",8
C.R.A.Z.Y.,2005,Jean-Marc Vallée,"Michel Côté, Marc-André Grondin",8
The Lost Weekend,1945,Billy Wilder,"Ray Milland, Jane Wyman",8
Duck Soup,1933,Leo McCarey,"Groucho Marx, Harpo Marx",8
Special 26,2013,Neeraj Pandey,"Akshay Kumar, Anupam Kher",8
A Night at the Opera,1935,Sam Wood,"Groucho Marx, Chico Marx",8
Central Station,1998,Walter Salles,"Fernanda Montenegro, Vinícius de Oliveira",8
No Man's Land,I) (2001,Danis Tanovic,"Branko Djuric, Rene Bitorajac",8
G.O.R.A.,2004,Ömer Faruk Sorak,"Cem Yilmaz, Rasim Öztekin",8
Thor: Ragnarok,2017,Taika Waititi,"Chris Hemsworth, Tom Hiddleston",7.9
E.T. the Extra-Terrestrial,1982,Steven Spielberg,"Henry Thomas, Drew Barrymore",7.9
Iron Man,2008,Jon Favreau,"Robert Downey Jr., Gwyneth Paltrow",7.9
Arrival,II) (2016,Denis Villeneuve,"Amy Adams, Jeremy Renner",7.9
The Breakfast Club,1985,John Hughes,"Emilio Estevez, Judd Nelson",7.9
The Notebook,2004,Nick Cassavetes,"Gena Rowlands, James Garner",7.9
The Hobbit: An Unexpected Journey,2012,Peter Jackson,"Martin Freeman, Ian McKellen",7.9
The Ten Commandments,1956,Cecil B. DeMille,"Charlton Heston, Yul Brynner",7.9
Edge of Tomorrow,2014,Doug Liman,"Tom Cruise, Emily Blunt",7.9
Moon,2009,Duncan Jones,"Sam Rockwell, Kevin Spacey",7.9
Captain Fantastic,2016,Matt Ross,"Viggo Mortensen, George MacKay",7.9
Straight Outta Compton,2015,F. Gary Gray,"O'Shea Jackson Jr., Corey Hawkins",7.9
Boogie Nights,1997,Paul Thomas Anderson,"Mark Wahlberg, Julianne Moore",7.9
True Romance,1993,Tony Scott,"Christian Slater, Patricia Arquette",7.9
Hot Fuzz,2007,Edgar Wright,"Simon Pegg, Nick Frost",7.9
Almost Famous,2000,Cameron Crowe,"Billy Crudup, Patrick Fugit",7.9
Children of Men,2006,Alfonso Cuarón,"Julianne Moore, Clive Owen",7.9
Nightcrawler,2014,Dan Gilroy,"Jake Gyllenhaal, Rene Russo",7.9
In Bruges,2008,Martin McDonagh,"Colin Farrell, Brendan Gleeson",7.9
Shrek,2001,Andrew Adamson,"Mike Myers, Eddie Murphy",7.9
The Hobbit: The Desolation of Smaug,2013,Peter Jackson,"Ian McKellen, Martin Freeman",7.9
Hunt for the Wilderpeople,2016,Taika Waititi,"Sam Neill, Julian Dennison",7.9
The Boondock Saints,1999,Troy Duffy,"Willem Dafoe, Sean Patrick Flanery",7.9
Toy Story 2,1999,John Lasseter,"Tom Hanks, Tim Allen",7.9
Serenity,2005,Joss Whedon,"Nathan Fillion, Gina Torres",7.9
Mr. Nobody,2009,Jaco Van Dormael,"Jared Leto, Sarah Polley",7.9
Spartacus,1960,Stanley Kubrick,"Kirk Douglas, Laurence Olivier",7.9
The Blues Brothers,1980,John Landis,"John Belushi, Dan Aykroyd",7.9
Boyhood,I) (2014,Richard Linklater,"Ellar Coltrane, Patricia Arquette",7.9
The Bourne Identity,2002,Doug Liman,"Franka Potente, Matt Damon",7.9
Edward Scissorhands,1990,Tim Burton,"Johnny Depp, Winona Ryder",7.9
Life of Pi,2012,Ang Lee,"Suraj Sharma, Irrfan Khan",7.9
Walk the Line,2005,James Mangold,"Joaquin Phoenix, Reese Witherspoon",7.9
The Untouchables,1987,Brian De Palma,"Kevin Costner, Sean Connery",7.9
The Right Stuff,1983,Philip Kaufman,"Sam Shepard, Scott Glenn",7.9
Carlito's Way,1993,Brian De Palma,"Al Pacino, Sean Penn",7.9
The Man from Earth,2007,Richard Schenkman,"David Lee Smith, Tony Todd",7.9
The Outlaw Josey Wales,1976,Clint Eastwood,"Clint Eastwood, Sondra Locke",7.9
My Fair Lady,1964,George Cukor,"Audrey Hepburn, Rex Harrison",7.9
The Fall,2006,Tarsem Singh,"Lee Pace, Catinca Untaru",7.9
Days of Heaven,1978,Terrence Malick,"Richard Gere, Brooke Adams",7.9
Bonnie and Clyde,1967,Arthur Penn,"Warren Beatty, Faye Dunaway",7.9
Midnight Cowboy,1969,John Schlesinger,"Dustin Hoffman, Jon Voight",7.9
The Wrestler,2008,Darren Aronofsky,"Mickey Rourke, Marisa Tomei",7.9
The Quiet Man,1952,John Ford,"John Wayne, Maureen O'Hara",7.9
"Crouching Tiger, Hidden Dragon",2000,Ang Lee,"Yun-Fat Chow, Michelle Yeoh",7.9
Let the Right One In,2008,Tomas Alfredson,"Kåre Hedebrant, Lina Leandersson",7.9
The Artist,I) (2011,Michel Hazanavicius,"Jean Dujardin, Bérénice Bejo",7.9
Do the Right Thing,1989,Spike Lee,"Danny Aiello, Ossie Davis",7.9
Glory,1989,Edward Zwick,"Matthew Broderick, Denzel Washington",7.9
Ed Wood,1994,Tim Burton,"Johnny Depp, Martin Landau",7.9
The Insider,1999,Michael Mann,"Russell Crowe, Al Pacino",7.9
The Conversation,1974,Francis Ford Coppola,"Gene Hackman, John Cazale",7.9
My Left Foot,1989,Jim Sheridan,"Daniel Day-Lewis, Brenda Fricker",7.9
Ying xiong,2002,Yimou Zhang,"Jet Li, Tony Chiu-Wai Leung",7.9
Before Midnight,2013,Richard Linklater,"Ethan Hawke, Julie Delpy",7.9
The Holy Mountain,1973,Alejandro Jodorowsky,"Alejandro Jodorowsky, Horacio Salinas",7.9
Night of the Living Dead,1968,George A. Romero,"Duane Jones, Judith O'Dea",7.9
The Killing Fields,1984,Roland Joffé,"Sam Waterston, Haing S. Ngor",7.9
Stagecoach,1939,John Ford,"John Wayne, Claire Trevor",7.9
King Kong,1933,Merian C. Cooper,"Fay Wray, Robert Armstrong",7.9
"I, Daniel Blake",2016,Ken Loach,"Dave Johns, Hayley Squires",7.9
The Remains of the Day,1993,James Ivory,"Anthony Hopkins, Emma Thompson",7.9
Badlands,1973,Terrence Malick,"Martin Sheen, Sissy Spacek",7.9
Once,2007,John Carney,"Glen Hansard, Markéta Irglová",7.9
Kiki's Delivery Service,1989,Hayao Miyazaki,"Kirsten Dunst, Minami Takayama",7.9
Freaks,1932,Tod Browning,"Wallace Ford, Leila Hyams",7.9
Letters from Iwo Jima,2006,Clint Eastwood,"Ken Watanabe, Kazunari Ninomiya",7.9
Perfect Blue,1997,Satoshi Kon,"Junko Iwao, Rica Matsumoto",7.9
Amour,2012,Michael Haneke,"Jean-Louis Trintignant, Emmanuelle Riva",7.9
Breathless,1960,Jean-Luc Godard,"Jean-Paul Belmondo, Jean Seberg",7.9
Naked,1993,Mike Leigh,"David Thewlis, Lesley Sharp",7.9
The African Queen,1951,John Huston,"Humphrey Bogart, Katharine Hepburn",7.9
The Lady Vanishes,1938,Alfred Hitchcock,"Margaret Lockwood, Michael Redgrave",7.9
Breaking the Waves,1996,Lars von Trier,"Emily Watson, Stellan Skarsgård",7.9
A Prophet,2009,Jacques Audiard,"Tahar Rahim, Niels Arestrup",7.9
Once Were Warriors,1994,Lee Tamahori,"Rena Owen, Temuera Morrison",7.9
The Chaser,2008,Hong-jin Na,"Yun-seok Kim, Jung-woo Ha",7.9
Frankenstein,1931,James Whale,"Colin Clive, Mae Clarke",7.9
Amarcord,1973,Federico Fellini,"Magali Noël, Bruno Zanin",7.9
All About My Mother,1999,Pedro Almodóvar,"Cecilia Roth, Marisa Paredes",7.9
The Double Life of Veronique,1991,Krzysztof Kieslowski,"Irène Jacob, Wladyslaw Kowalski",7.9
The Man Who Would Be King,1975,John Huston,"Sean Connery, Michael Caine",7.9
The Chorus,2004,Christophe Barratier,"Gérard Jugnot, François Berléand",7.9
English Vinglish,2012,Gauri Shinde,"Sridevi, Adil Hussain",7.9
Bride of Frankenstein,1935,James Whale,"Boris Karloff, Elsa Lanchester",7.9
Batman: Mask of the Phantasm,1993,Eric Radomski,"Kevin Conroy, Dana Delany",7.9
A Man for All Seasons,1966,Fred Zinnemann,"Paul Scofield, Wendy Hiller",7.9
Jules and Jim,1962,François Truffaut,"Jeanne Moreau, Oskar Werner",7.9
Lilya 4-Ever,2002,Lukas Moodysson,"Oksana Akinshina, Artyom Bogucharskiy",7.9
Cowboy Bebop: The Movie,2001,Shinichirô Watanabe,"Beau Billingslea, Melissa Fahn",7.9
Nine Queens,2000,Fabián Bielinsky,"Ricardo Darín, Gastón Pauls",7.9
Key Largo,1948,John Huston,"Humphrey Bogart, Edward G. Robinson",7.9
Hard Boiled,1992,John Woo,"Yun-Fat Chow, Tony Chiu-Wai Leung",7.9
The Killer,1989,John Woo,"Yun-Fat Chow, Danny Lee",7.9
Miracle on 34th Street,1947,George Seaton,"Edmund Gwenn, Maureen O'Hara",7.9
"4 Months, 3 Weeks and 2 Days",2007,Cristian Mungiu,"Anamaria Marinca, Laura Vasiliu",7.9
The Edge of Heaven,2007,Fatih Akin,"Baki Davrak, Gürsoy Gemec",7.9
Ninja Scroll,1993,Yoshiaki Kawajiri,"Kôichi Yamadera, Emi Shinohara",7.9
Veer-Zaara,2004,Yash Chopra,"Shah Rukh Khan, Preity Zinta",7.9
Black Panther,2018,Ryan Coogler,"Chadwick Boseman, Michael B. Jordan",7.8
The Greatest Showman,2017,Michael Gracey,"Hugh Jackman, Michelle Williams",7.8
Wind River,2017,Taylor Sheridan,"Kelsey Asbille, Jeremy Renner",7.8
Captain America: Civil War,2016,Anthony Russo,"Chris Evans, Robert Downey Jr.",7.8
Titanic,1997,James Cameron,"Leonardo DiCaprio, Kate Winslet",7.8
Avatar,2009,James Cameron,"Sam Worthington, Zoe Saldana",7.8
Rogue One,2016,Gareth Edwards,"Felicity Jones, Diego Luna",7.8
Captain America: The Winter Soldier,2014,Anthony Russo,"Chris Evans, Samuel L. Jackson",7.8
The Goonies,1985,Richard Donner,"Sean Astin, Josh Brolin",7.8
The Hateful Eight,2015,Quentin Tarantino,"Samuel L. Jackson, Kurt Russell",7.8
Moonrise Kingdom,2012,Wes Anderson,"Jared Gilman, Kara Hayward",7.8
Fantastic Mr. Fox,2009,Wes Anderson,"George Clooney, Meryl Streep",7.8
Hidden Figures,2016,Theodore Melfi,"Taraji P. Henson, Octavia Spencer",7.8
Ghostbusters,1984,Ivan Reitman,"Bill Murray, Dan Aykroyd",7.8
Atonement,2007,Joe Wright,"Keira Knightley, James McAvoy",7.8
Pride & Prejudice,2005,Joe Wright,"Keira Knightley, Matthew Macfadyen",7.8
Harry Potter and the Prisoner of Azkaban,2004,Alfonso Cuarón,"Daniel Radcliffe, Emma Watson",7.8
Ferris Bueller's Day Off,1986,John Hughes,"Matthew Broderick, Alan Ruck",7.8
Tangled,2010,Nathan Greno,"Mandy Moore, Zachary Levi",7.8
About Time,I) (2013,Richard Curtis,"Domhnall Gleeson, Rachel McAdams",7.8
Ocean's Eleven,2001,Steven Soderbergh,"George Clooney, Brad Pitt",7.8
Manchester by the Sea,2016,Kenneth Lonergan,"Casey Affleck, Michelle Williams",7.8
Skyfall,2012,Sam Mendes,"Daniel Craig, Javier Bardem",7.8
Big Hero 6,2014,Don Hall,"Ryan Potter, Scott Adsit",7.8
The Big Short,2015,Adam McKay,"Christian Bale, Steve Carell",7.8
Drive,I) (2011,Nicolas Winding Refn,"Ryan Gosling, Carey Mulligan",7.8
The Girl with the Dragon Tattoo,2011,David Fincher,"Daniel Craig, Rooney Mara",7.8
The Sandlot,1993,David Mickey Evans,"Tom Guiry, Mike Vitar",7.8
Gravity,2013,Alfonso Cuarón,"Sandra Bullock, George Clooney",7.8
Silver Linings Playbook,2012,David O. Russell,"Bradley Cooper, Jennifer Lawrence",7.8
Predator,1987,John McTiernan,"Arnold Schwarzenegger, Carl Weathers",7.8
Blue Is the Warmest Color,2013,Abdellatif Kechiche,"Léa Seydoux, Adèle Exarchopoulos",7.8
Crash,I) (2004,Paul Haggis,"Don Cheadle, Sandra Bullock",7.8
X: First Class,2011,Matthew Vaughn,"James McAvoy, Michael Fassbender",7.8
The Curious Case of Benjamin Button,2008,David Fincher,"Brad Pitt, Cate Blanchett",7.8
Mary Poppins,1964,Robert Stevenson,"Julie Andrews, Dick Van Dyke",7.8
Tombstone,1993,George P. Cosmatos,"Kurt Russell, Val Kilmer",7.8
Apocalypto,2006,Mel Gibson,"Gerardo Taracena, Raoul Max Trujillo",7.8
The Lego Movie,2014,Phil Lord,"Chris Pratt, Will Ferrell",7.8
The Fault in Our Stars,2014,Josh Boone,"Shailene Woodley, Ansel Elgort",7.8
Willy Wonka & the Chocolate Factory,1971,Mel Stuart,"Gene Wilder, Jack Albertson",7.8
Taken,I) (2008,Pierre Morel,"Liam Neeson, Maggie Grace",7.8
Star Trek: Into Darkness,2013,J.J. Abrams,"Chris Pine, Zachary Quinto",7.8
Cast Away,2000,Robert Zemeckis,"Tom Hanks, Helen Hunt",7.8
Lost in Translation,2003,Sofia Coppola,"Bill Murray, Scarlett Johansson",7.8
Office Space,1999,Mike Judge,"Ron Livingston, Jennifer Aniston",7.8
Back to the Future Part II,1989,Robert Zemeckis,"Michael J. Fox, Christopher Lloyd",7.8
The Last of the Mohicans,1992,Michael Mann,"Daniel Day-Lewis, Madeleine Stowe",7.8
Me and Earl and the Dying Girl,2015,Alfonso Gomez-Rejon,"Thomas Mann, RJ Cyler",7.8
Halloween,1978,John Carpenter,"Donald Pleasence, Jamie Lee Curtis",7.8
How to Train Your Dragon 2,2014,Dean DeBlois,"Jay Baruchel, Cate Blanchett",7.8
Empire of the Sun,1987,Steven Spielberg,"Christian Bale, John Malkovich",7.8
Airplane!,1980,Jim Abrahams,"Robert Hays, Julie Hagerty",7.8
The Fugitive,1993,Andrew Davis,"Harrison Ford, Tommy Lee Jones",7.8
Little Miss Sunshine,2006,Jonathan Dayton,"Steve Carell, Toni Collette",7.8
The Color Purple,1985,Steven Spielberg,"Danny Glover, Whoopi Goldberg",7.8
A Bronx Tale,1993,Robert De Niro,"Robert De Niro, Chazz Palminteri",7.8
American Gangster,2007,Ridley Scott,"Denzel Washington, Russell Crowe",7.8
The Game,1997,David Fincher,"Michael Douglas, Deborah Kara Unger",7.8
Misery,1990,Rob Reiner,"James Caan, Kathy Bates",7.8
Gattaca,1997,Andrew Niccol,"Ethan Hawke, Uma Thurman",7.8
The Boy in the Striped Pajamas,2008,Mark Herman,"Asa Butterfield, David Thewlis",7.8
Remember the Titans,2000,Boaz Yakin,"Denzel Washington, Will Patton",7.8
Kubo and the Two Strings,2016,Travis Knight,"Charlize Theron, Art Parkinson",7.8
Perfetti sconosciuti,2016,Paolo Genovese,"Giuseppe Battiston, Anna Foglietta",7.8
The Magnificent Seven,1960,John Sturges,"Yul Brynner, Steve McQueen",7.8
The Count of Monte Cristo,2002,Kevin Reynolds,"Jim Caviezel, Guy Pearce",7.8
Captain Phillips,2013,Paul Greengrass,"Tom Hanks, Barkhad Abdi",7.8
What's Eating Gilbert Grape,1993,Lasse Hallström,"Johnny Depp, Leonardo DiCaprio",7.8
The Fighter,I) (2010,David O. Russell,"Mark Wahlberg, Christian Bale",7.8
Serpico,1973,Sidney Lumet,"Al Pacino, John Randolph",7.8
"O Brother, Where Art Thou?",2000,Joel Coen,"George Clooney, John Turturro",7.8
The Girl with the Dragon Tattoo,2009,Niels Arden Oplev,"Michael Nyqvist, Noomi Rapace",7.8
Boyz n the Hood,1991,John Singleton,"Cuba Gooding Jr., Laurence Fishburne",7.8
Blazing Saddles,1974,Mel Brooks,"Cleavon Little, Gene Wilder",7.8
The Bourne Supremacy,2004,Paul Greengrass,"Matt Damon, Franka Potente",7.8
Blue Velvet,1986,David Lynch,"Isabella Rossellini, Kyle MacLachlan",7.8
Donnie Brasco,1997,Mike Newell,"Al Pacino, Johnny Depp",7.8
The Best Offer,2013,Giuseppe Tornatore,"Geoffrey Rush, Jim Sturgess",7.8
Beasts of No Nation,2015,Cary Joji Fukunaga,"Abraham Attah, Emmanuel Affadzi",7.8
Being John Malkovich,1999,Spike Jonze,"John Cusack, Cameron Diaz",7.8
Changeling,2008,Clint Eastwood,"Angelina Jolie, Colm Feore",7.8
Evil Dead II,1987,Sam Raimi,"Bruce Campbell, Sarah Berry",7.8
The Great Beauty,2013,Paolo Sorrentino,"Toni Servillo, Carlo Verdone",7.8
I Saw the Devil,2010,Jee-woon Kim,"Byung-hun Lee, Min-sik Choi",7.8
Glengarry Glen Ross,1992,James Foley,"Al Pacino, Jack Lemmon",7.8
Clerks,1994,Kevin Smith,"Brian O'Halloran, Jeff Anderson",7.8
Mississippi Burning,1988,Alan Parker,"Gene Hackman, Willem Dafoe",7.8
Dirty Harry,1971,Don Siegel,"Clint Eastwood, Andrew Robinson",7.8
Lucky Number Slevin,2006,Paul McGuigan,"Josh Hartnett, Ben Kingsley",7.8
The Name of the Rose,1986,Jean-Jacques Annaud,"Sean Connery, Christian Slater",7.8
Guess Who's Coming to Dinner,1967,Stanley Kramer,"Spencer Tracy, Sidney Poitier",7.8
The French Connection,1971,William Friedkin,"Gene Hackman, Roy Scheider",7.8
Awakenings,1990,Penny Marshall,"Robert De Niro, Robin Williams",7.8
Le Petit Prince,2015,Mark Osborne,"Jeff Bridges, Mackenzie Foy",7.8
Forushande,2016,Asghar Farhadi,"Taraneh Alidoosti, Shahab Hosseini",7.8
Kung Fu Hustle,2004,Stephen Chow,"Stephen Chow, Wah Yuen",7.8
