title,year,director,cast,imdb_rating
Princess Mononoke,1997,Hayao Miyazaki,"Yôji Matsuda, Yuriko Ishida",8.4
Vertigo,1958,Alfred Hitchcock,"James Stewart, Kim Novak",8.4
Das Boot,1981,Wolfgang Petersen,"Jürgen Prochnow, Herbert Grönemeyer",8.4
North by Northwest,1959,Alfred Hitchcock,"Cary Grant, Eva Marie Saint",8.4
M,1931,Fritz Lang,"Peter Lorre, Ellen Widmann",8.4
Paths of Glory,1957,Stanley Kubrick,"Kirk Douglas, Ralph Meeker",8.4
Witness for the Prosecution,1957,Billy Wilder,"Tyrone Power, Marlene Dietrich",8.4
Baahubali 2: The Conclusion,2017,S.S. Rajamouli,"Prabhas, Rana Daggubati",8.4
The Bandit,1996,Yavuz Turgul,"Sener Sen, Ugur Yücel",8.4
Inglourious Basterds,2009,Quentin Tarantino,"Brad Pitt, Diane Kruger",8.3
Good Will Hunting,1997,Gus Van Sant,"Robin Williams, Matt Damon",8.3
Requiem for a Dream,2000,Darren Aronofsky,"Ellen Burstyn, Jared Leto",8.3
Full Metal Jacket,1987,Stanley Kubrick,"Matthew Modine, R. Lee Ermey",8.3
Taxi Driver,1976,Martin Scorsese,"Robert De Niro, Jodie Foster",8.3
2001: A Space Odyssey,1968,Stanley Kubrick,"Keir Dullea, Gary Lockwood",8.3
Toy Story,1995,John Lasseter,"Tom Hanks, Tim Allen",8.3
Scarface,1983,Brian De Palma,"Al Pacino, Michelle Pfeiffer",8.3
Batman Begins,2005,Christopher Nolan,"Christian Bale, Michael Caine",8.3
A Clockwork Orange,1971,Stanley Kubrick,"Malcolm McDowell, Patrick Magee",8.3
Reservoir Dogs,1992,Quentin Tarantino,"Harvey Keitel, Tim Roth",8.3
Snatch,2000,Guy Ritchie,"Jason Statham, Brad Pitt",8.3
Up,2009,Pete Docter,"Edward Asner, Jordan Nagai",8.3
Eternal Sunshine of the Spotless Mind,2004,Michel Gondry,"Jim Carrey, Kate Winslet",8.3
Indiana Jones and the Last Crusade,1989,Steven Spielberg,"Harrison Ford, Sean Connery",8.3
Star Wars: Episode VI - Return of the Jedi,1983,Richard Marquand,"Mark Hamill, Harrison Ford",8.3
Toy Story 3,2010,Lee Unkrich,"Tom Hanks, Tim Allen",8.3
Amadeus,1984,Milos Forman,"F. Murray Abraham, Tom Hulce",8.3
Amélie,2001,Jean-Pierre Jeunet,"Audrey Tautou, Mathieu Kassovitz",8.3
To Kill a Mockingbird,1962,Robert Mulligan,"Gregory Peck, John Megna",8.3
Monty Python and the Holy Grail,1975,Terry Gilliam,"Graham Chapman, John Cleese",8.3
Jagten,2012,Thomas Vinterberg,"Mads Mikkelsen, Thomas Bo Larsen",8.3
L.A. Confidential,1997,Curtis Hanson,"Kevin Spacey, Russell Crowe",8.3
Lawrence of Arabia,1962,David Lean,"Peter O'Toole, Alec Guinness",8.3
The Sting,1973,George Roy Hill,"Paul Newman, Robert Redford",8.3
Some Like It Hot,1959,Billy Wilder,"Marilyn Monroe, Tony Curtis",8.3
Singin' in the Rain,1952,Stanley Donen,"Gene Kelly, Donald O'Connor",8.3
For a Few Dollars More,1965,Sergio Leone,"Clint Eastwood, Lee Van Cleef",8.3
Metropolis,1927,Fritz Lang,"Brigitte Helm, Alfred Abel",8.3
A Separation,2011,Asghar Farhadi,"Payman Maadi, Leila Hatami",8.3
Tangerines,2013,Zaza Urushadze,"Lembit Ulfsak, Elmo Nüganen",8.3
The Apartment,1960,Billy Wilder,"Jack Lemmon, Shirley MacLaine",8.3
All About Eve,1950,Joseph L. Mankiewicz,"Bette Davis, Anne Baxter",8.3
Double Indemnity,1944,Billy Wilder,"Fred MacMurray, Barbara Stanwyck",8.3
Rashômon,1950,Akira Kurosawa,"Toshirô Mifune, Machiko Kyô",8.3
Children of Heaven,1997,Majid Majidi,"Mohammad Amir Naji, Amir Farrokh Hashemian",8.3
Bicycle Thieves,1948,Vittorio De Sica,"Lamberto Maggiorani, Enzo Staiola",8.3
Yojimbo,1961,Akira Kurosawa,"Toshirô Mifune, Eijirô Tôno",8.3
The Treasure of the Sierra Madre,1948,John Huston,"Humphrey Bogart, Walter Huston",8.3
Rang De Basanti,2006,Rakeysh Omprakash Mehra,"Aamir Khan, Soha Ali Khan",8.3
The Kid,1921,Charles Chaplin,"Charles Chaplin, Edna Purviance",8.3
Ikiru,1952,Akira Kurosawa,"Takashi Shimura, Nobuo Kaneko",8.3
Drishyam,2015,Nishikant Kamat,"Ajay Devgn, Shriya Saran",8.3
Queen,2013,Vikas Bahl,"Kangana Ranaut, Rajkummar Rao",8.3
Swades,2004,Ashutosh Gowariker,"Shah Rukh Khan, Gayatri Joshi",8.3
